Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
50,2.0,0.0,0.0,187.0,10.0,14.0,868.0,0.0,5.9325439873866985,0.0,0.0,203.07245135307312,,,,,,,,,,,,,,,,,,,,,2.5143525282338763,2.0294102319566574,5.909155453743457,0.15785820618678426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,210.0,11.0,23.0,891.0,0.0,7.7254989043363045,0.0,0.0,205.5026228427887,,,,,,,,,,,,,,,,,,,,,3.8594910873346935,3.1173666967616342,7.682711792947437,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,237.0,12.0,27.0,918.0,0.0,16.614840134881277,0.0,0.0,208.21127009391785,,,,,,,,,,,,,,,,,,,,,6.759657638692771,5.319590360528071,16.46524340019356,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,253.0,13.0,16.0,934.0,0.0,5.415090854184491,0.0,0.0,210.04900074005127,,,,,,,,,,,,,,,,,,,,,1.4470245830437674,2.0030708623400972,5.4027385351876305,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,275.0,14.0,22.0,956.0,0.0,15.007103523827976,0.0,0.0,212.47534584999084,,,,,,,,,,,,,,,,,,,,,6.23191304187996,5.218211672335937,14.899786109339187,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,291.0,15.0,16.0,972.0,0.0,6.997209112187303,0.0,0.0,214.28871130943298,,,,,,,,,,,,,,,,,,,,,2.326392375967811,2.5612279672150047,6.973927715675453,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,308.0,16.0,17.0,989.0,0.0,7.723360567414044,0.0,0.0,216.4043595790863,,,,,,,,,,,,,,,,,,,,,3.2921381881233676,2.57303966152619,7.682752039542993,0.11256313815927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,322.0,17.0,14.0,1003.0,0.0,5.762728848735884,0.0,0.0,218.09128308296204,,,,,,,,,,,,,,,,,,,,,2.282883139582858,2.0876641432991074,5.742247237008505,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,343.0,18.0,21.0,1024.0,0.0,15.284257665415526,0.0,0.0,220.24621891975403,,,,,,,,,,,,,,,,,,,,,7.173295291568856,4.83966127168032,15.163931162686792,0.31332650028018205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,364.0,19.0,21.0,1045.0,0.0,13.652254823554799,0.0,0.0,222.50030636787415,,,,,,,,,,,,,,,,,,,,,5.985229522546184,4.394468892901506,13.55365876745748,0.13407147127089492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,379.0,20.0,15.0,1060.0,0.0,7.911701301818306,0.0,0.0,224.10929417610168,,,,,,,,,,,,,,,,,,,,,3.0478648879999253,2.861032110777883,7.8817389246086025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,14.0,1.0,14.0,1074.0,0.0,6.589338667466331,0.0,0.0,280.5947778224945,,,,,,,,,,,,,,,,,,,,,2.422944471515898,2.4122491209761585,6.568547972261659,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,30.0,2.0,16.0,1090.0,0.0,9.14106151138341,0.0,0.0,282.4330472946167,,,,,,,,,,,,,,,,,,,,,3.673648437962255,3.239203493324248,9.100474985872777,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,45.0,3.0,15.0,1105.0,0.0,7.571364745543086,0.0,0.0,284.1360478401184,,,,,,,,,,,,,,,,,,,,,2.942399579656886,2.6821136257279194,7.54230582118478,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,66.0,4.0,21.0,1126.0,0.0,14.17085386122703,0.0,0.0,286.48446559906006,,,,,,,,,,,,,,,,,,,,,5.900330012392162,4.926587144607829,14.075083021927629,0.04962407537493452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,82.0,5.0,16.0,1142.0,0.0,8.270961692906695,0.0,0.0,288.2771005630493,,,,,,,,,,,,,,,,,,,,,3.426247961670284,2.7329521891452573,8.232598690301884,0.2534523567662115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,102.0,6.0,20.0,1162.0,0.0,11.870487699928587,0.0,0.0,290.6215364933014,,,,,,,,,,,,,,,,,,,,,5.915232115735983,3.482649350109139,11.775722727345832,0.7051951468952754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,123.0,7.0,21.0,1183.0,0.0,12.786351888416972,0.0,0.0,292.8291606903076,,,,,,,,,,,,,,,,,,,,,5.9906958743202665,4.3561114459185575,12.685906401953751,0.07486827545413433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,144.0,8.0,21.0,1204.0,0.0,14.534736316152474,0.0,0.0,295.12872648239136,,,,,,,,,,,,,,,,,,,,,6.1342208545962675,5.07061397479898,14.434772789011186,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,160.0,9.0,16.0,1220.0,0.0,8.135565130249837,0.0,0.0,296.90384006500244,,,,,,,,,,,,,,,,,,,,,3.1093173065277098,2.838682566122506,8.102011975283988,0.147438282127917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,179.0,10.0,19.0,1239.0,0.0,9.208240469404739,0.0,0.0,298.8843822479248,,,,,,,,,,,,,,,,,,,,,3.215982540619707,3.4183751308824144,9.165458552779972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,201.0,11.0,22.0,1261.0,0.0,8.731320098934969,0.0,0.0,301.1406397819519,,,,,,,,,,,,,,,,,,,,,4.880136291304029,3.437645501483732,8.684566997256196,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,225.0,12.0,24.0,1285.0,0.0,13.10488921535301,0.0,0.0,303.5811161994934,,,,,,,,,,,,,,,,,,,,,4.633595341318107,4.522677150507279,13.01970932610426,0.2778510299025271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,245.0,13.0,20.0,1305.0,0.0,7.466189304983372,0.0,0.0,305.668345451355,,,,,,,,,,,,,,,,,,,,,2.697968911511849,2.1968864107860484,7.427076652982448,0.41206790915746183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,261.0,14.0,16.0,1321.0,0.0,10.283658866232141,0.0,0.0,307.3358633518219,,,,,,,,,,,,,,,,,,,,,5.149039345894787,3.0061025252119364,10.221707429850095,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,280.0,15.0,19.0,1340.0,0.0,10.800544830050233,0.0,0.0,309.3835337162018,,,,,,,,,,,,,,,,,,,,,4.76828309563517,3.2680351161381105,10.73139951887139,0.5396988975527728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
